GloVe_2_50, 
merely,31
spite,35
as,31
combining,40
nonetheless,35
moreover,32
indeed,33
and,32
likewise,41
lawson,31
whereas,35
boyd,35
with,31
HPCA_2_50, 
future,24
up,22
ring,23
creation,25
likewise,25
taking,21
ghost,26
denver,24
challenged,23
but,21
webb,22
deliver,21
Word2Vec_2_50, 
robinson,30
bennett,41
thus,32
created,30
brian,33
miller,34
pocket,35
and,33
likewise,30
collins,32
thompson,47
dog,33
GloVe_2_200, 
accordingly,98
furthermore,131
additionally,157
rather,78
similarly,117
moreover,212
indeed,93
and,318
likewise,167
whereas,101
HPCA_2_200, 
robinson,35
roberts,35
hunter,43
history,35
similarly,54
miller,35
parker,42
likewise,42
bell,38
ghost,35
monster,44
jones,35
Word2Vec_2_200, 
robinson,116
bennett,91
furthermore,116
miller,154
accordingly,88
moreover,102
indeed,87
and,176
likewise,225
smith,124
GloVe_5_50, 
also,51
spite,31
bennett,36
furthermore,30
dash,28
combining,28
for,28
similarly,36
well,28
and,48
likewise,29
thompson,28
webb,42
HPCA_5_50, 
to,29
accordingly,24
bennett,24
the,37
similarly,30
beast,28
miller,24
likewise,30
making,27
in,27
webb,25
Word2Vec_5_50, 
bennett,34
harris,38
furthermore,36
however,40
the,39
miller,40
and,41
collins,39
considering,39
use,38
GloVe_5_200, 
also,91
furthermore,153
however,90
the,130
well,111
and,293
addition,102
likewise,84
instance,104
unlike,90
HPCA_5_200, 
furthermore,68
the,135
similarly,63
miller,58
moreover,61
and,113
likewise,104
down,59
jones,62
with,60
Word2Vec_5_200, 
bennett,82
furthermore,124
the,314
miller,143
moreover,109
indeed,92
and,336
likewise,155
in,88
smith,112
