GloVe_2_50, 
and,0.2730698855722752
with,0.27215568862275447
additionally,0.26956568624807914
unlike,0.27161600521554885
moreover,0.27255628850242597
whereas,0.27003159685651784
likewise,0.2820671951253914
aside,0.28586540110926867
furthermore,0.2691013806281454
besides,0.26880477445023926
HPCA_2_50, 
punch,0.2411896664013315
dash,0.23906754333532576
future,0.24837299418749068
rush,0.23786188357875204
ring,0.2375962360992301
relief,0.23829837940896093
nation,0.23816782983588594
target,0.23776007609083344
setting,0.24179039512501813
mirror,0.23958882445967317
Word2Vec_2_50, 
and,0.2700826535573443
both,0.2538783800939444
respectively,0.257932208636434
holding,0.2538977197704535
future,0.2570503097766009
whereas,0.258198626245933
likewise,0.2548554824896773
similarly,0.26043810069543927
pocket,0.26195965417867434
atlas,0.25715608363552195
GloVe_2_200, 
and,0.4102827130606048
additionally,0.37150287943525917
both,0.35176781002638524
addition,0.3402061855670103
moreover,0.3770930758787147
whereas,0.33798674959437536
likewise,0.3723051718360204
similarly,0.35134755261955797
furthermore,0.3599611203110375
as,0.346994725152693
HPCA_2_200, 
and,0.29776652769505657
arnold,0.28785697835099033
magic,0.2900278454577097
oliver,0.2960035523978686
similarly,0.2997481863421068
history,0.28937315506164263
bell,0.3012019158357683
harvey,0.2970147036982029
lewis,0.29886122485578503
hunter,0.31074025731866495
Word2Vec_2_200, 
and,0.367623809698886
meanwhile,0.3235189439285599
presumably,0.3233620076321066
consequently,0.32697841726618704
the,0.33401256012827363
moreover,0.34517398508699254
whereas,0.32671132167946415
likewise,0.38197654429460975
similarly,0.3327786467867008
furthermore,0.3546876662764712
GloVe_5_50, 
and,0.2871872935634891
by,0.2633672233050624
with,0.27315940445294357
additionally,0.2627789019999474
the,0.2674888312244188
of,0.2686458893068243
also,0.28318559007618455
well,0.2629170939496726
for,0.2734956236323851
as,0.2653591995966137
HPCA_5_50, 
and,0.2497065654421497
to,0.2534086877185869
with,0.24938893600039908
in,0.254091278715186
the,0.25645694939598346
of,0.24745712376568416
future,0.2495134002096122
while,0.2495632206858683
similarly,0.24839767476524072
being,0.2479295809571039
Word2Vec_5_50, 
and,0.2756139915653684
both,0.26361023964567243
which,0.26531695279539363
the,0.2720150167305966
within,0.25750045067085575
addition,0.2625374153232159
likewise,0.25930344130079613
furthermore,0.2636449928808733
besides,0.25736126840317103
another,0.2709682664426438
GloVe_5_200, 
and,0.3997521288929757
additionally,0.3459741877443687
both,0.3429012345679012
in,0.3575285157507062
the,0.3623876485937953
also,0.36638452237001207
addition,0.34556765163297043
well,0.3683551298581691
likewise,0.34870095902353965
furthermore,0.3475616114567764
HPCA_5_200, 
and,0.3415892320306095
to,0.3068119054924824
with,0.3194058457115477
in,0.31575457100451576
this,0.30510801904064444
up,0.3026148538224078
the,0.3425018839487566
likewise,0.33181788013539526
similarly,0.3228608330642557
furthermore,0.31551544602568554
Word2Vec_5_200, 
and,0.3886209985590817
both,0.323930727812767
in,0.3362313420600458
consequently,0.329971893426364
the,0.37244840073900276
of,0.322851273124336
moreover,0.32080659683019674
likewise,0.35962988327087
furthermore,0.3463010133606365
besides,0.31696502877743865
