GloVe_2_50,HPCA_2_50,Word2Vec_2_50,GloVe_2_200,HPCA_2_200,Word2Vec_2_200,GloVe_5_50,HPCA_5_50,Word2Vec_5_50,GloVe_5_200,HPCA_5_200,Word2Vec_5_200
1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6
9,8,9,9,9,9,9,9,8,9,9,9
17,16,17,17,17,17,17,17,16,17,17,17
20,19,20,20,20,20,20,20,19,20,20,19
22,21,23,22,23,23,24,22,21,23,23,22
25,6,6,6,6,6,6,6,6,6,6,6
26,24,27,19,26,27,27,25,25,19,19,11
27,25,28,26,27,28,28,26,26,26,27,25
28,26,29,27,28,29,29,27,27,27,28,26
3994,2983,4210,4118,4151,8115,4063,4036,7727,3990,4126,7846
35,33,36,34,35,36,36,34,34,34,35,33
223,223,223,222,225,233,224,222,223,220,226,226
41,39,42,40,41,42,42,40,40,40,41,39
7883,8031,8357,8060,8186,8342,7970,7931,7942,7762,8115,8068
43,41,44,42,43,44,43,41,41,42,43,42
46,44,47,46,47,48,46,44,44,46,47,45
49,46,49,49,50,51,48,46,46,49,49,47
50,47,50,50,51,52,49,47,47,50,50,48
7,7,7,7,7,7,7,7,7,7,7,7
6311,52,54,55,6553,57,6394,51,51,55,55,53
305,302,304,306,2739,315,7072,302,7047,298,2726,2695
309,306,308,310,310,319,307,306,310,302,312,314
58,55,57,58,58,60,57,54,54,58,58,56
6,101,103,59,46,107,316,315,101,311,104,102
323,320,322,327,325,335,323,322,324,319,328,329
60,58,60,61,61,63,60,57,57,61,61,59
61,59,61,62,62,64,61,58,58,62,62,60
4429,4504,4664,4550,4597,4642,4497,4464,4465,4414,4574,4529
65,63,64,66,65,68,65,61,62,19,65,64
66,64,65,67,66,69,66,62,63,65,66,65
355,351,357,361,360,370,358,353,358,351,362,363
68,66,67,69,68,71,68,64,65,66,68,67
71,69,70,72,71,74,71,67,68,69,72,70
72,70,71,73,72,75,72,68,69,70,73,71
74,72,73,75,74,77,74,70,71,72,75,73
75,73,74,76,75,78,75,71,72,2770,76,2833
76,74,75,77,76,79,76,72,73,74,77,75
78,76,77,79,78,81,78,74,75,76,79,77
79,77,78,80,79,82,79,75,76,77,80,78
82,80,81,83,82,85,82,78,79,80,83,81
83,81,82,84,83,86,83,79,80,81,84,82
84,82,83,85,84,87,84,80,81,82,85,83
86,84,85,87,86,89,86,82,83,84,87,85
45,43,46,45,46,47,45,43,43,45,46,44
89,87,88,90,89,92,89,85,86,87,90,88
90,88,89,91,90,93,90,86,87,88,91,89
94,92,93,95,94,97,94,90,91,92,95,93
97,95,96,98,97,100,97,93,94,95,98,96
2787,2837,2914,2862,2889,2915,2830,2811,2811,2777,2877,2839
3596,3662,3792,3708,3736,3774,103,3639,101,3599,3718,3686
104,101,103,59,46,107,106,100,103,101,104,102
19,103,105,105,105,110,109,103,107,19,107,105
108,106,108,623,631,113,112,106,109,612,629,623
111,109,110,111,111,116,113,109,110,109,114,110
112,110,111,112,112,117,114,110,112,110,115,111
113,111,112,114,113,118,645,111,636,112,116,113
25,642,654,6,6,664,116,643,114,635,654,114
115,113,114,116,115,120,117,113,115,114,118,115
116,114,115,117,116,121,118,114,116,115,119,116
117,115,116,118,117,122,120,115,141,116,120,117
120,118,119,19,119,124,121,19,119,19,19,11
121,119,120,120,120,125,122,117,120,119,122,120
127,125,126,121,121,126,128,118,126,120,123,121
128,126,127,127,127,132,129,124,127,126,129,127
129,127,128,128,128,133,130,125,128,127,130,128
132,130,131,129,129,134,133,126,131,128,131,129
740,747,756,132,132,137,748,129,742,131,134,132
134,131,133,751,756,767,135,744,133,734,753,749
136,133,135,134,134,139,137,130,135,19,19,11
139,136,139,136,136,141,140,132,139,134,137,135
140,137,140,139,139,145,141,135,140,137,140,139
6416,6527,6781,140,140,146,6494,136,6468,138,141,140
143,140,143,6554,6661,6762,144,6462,143,6325,6608,6563
102,99,101,142,143,149,101,139,99,140,144,142
7378,7511,7822,102,101,105,7467,98,7440,99,102,100
148,145,147,7546,7663,7806,148,7432,141,7276,7599,7553
150,148,150,147,148,154,150,144,150,145,149,147
2797,2847,2925,150,151,157,2840,147,2822,148,152,150
153,151,153,2874,2901,2927,153,2823,153,1575,2888,2850
154,152,154,153,154,160,154,150,154,151,155,153
155,153,155,154,155,161,155,151,155,152,156,154
7436,7570,7883,155,156,162,7522,152,7497,153,157,155
158,156,158,7607,7722,7869,158,7486,157,7335,7657,7612
159,157,159,158,159,165,159,155,158,155,160,158
901,910,924,159,160,166,911,156,905,156,161,159
161,159,161,918,924,934,161,908,160,896,922,913
162,160,162,161,162,168,162,158,161,158,163,161
163,161,163,162,163,169,163,159,162,159,164,162
166,165,165,163,164,170,167,160,165,160,165,163
169,168,168,165,167,174,170,164,168,163,168,167
170,169,169,168,170,177,171,167,169,166,171,170
172,171,171,169,171,178,173,168,171,167,172,171
176,175,175,171,173,180,177,170,175,169,174,173
178,177,177,174,177,184,179,174,177,173,178,177
180,179,179,176,179,186,181,176,179,175,180,179
182,181,181,178,181,188,183,178,181,177,182,181
183,182,182,180,183,190,184,180,182,179,184,183
184,183,183,181,184,191,185,181,183,180,185,184
97,185,185,182,185,192,187,182,185,181,186,185
186,186,186,184,187,194,188,184,186,183,188,187
188,188,188,185,188,195,190,185,188,184,189,188
1047,1054,1071,187,190,197,1058,187,1050,186,191,190
191,192,192,1068,1074,1082,193,1053,192,161,1071,1057
192,193,193,190,194,201,194,191,193,189,194,194
193,194,194,191,195,202,195,192,194,190,195,195
194,195,195,192,196,203,196,193,195,191,196,196
195,196,196,193,197,204,197,194,196,192,197,197
196,197,197,194,198,205,198,195,197,193,198,198
197,198,198,195,199,206,199,196,198,194,199,199
198,199,199,196,200,207,200,197,3177,195,200,200
200,201,201,197,201,3299,202,198,201,196,201,3219
204,43,205,199,203,210,6,200,43,198,203,203
205,205,206,203,6,214,206,43,206,6,207,6
206,206,207,204,207,215,207,204,207,203,208,208
208,208,209,205,208,216,209,205,209,204,209,209
209,209,210,207,210,218,210,207,210,206,211,211
211,211,212,208,211,219,212,208,141,207,212,212
216,216,217,210,213,221,217,210,216,19,214,214
218,218,219,215,218,226,219,215,218,213,219,219
219,219,1226,217,220,228,220,217,1197,215,221,221
25,6,6,218,221,229,6,218,6,1189,222,222
221,221,221,6,6,6,222,6,221,6,6,6
2807,222,2935,220,223,231,223,220,2830,218,224,224
226,226,227,221,2910,2937,227,221,226,2798,225,2860
3501,3560,3685,226,228,237,229,224,3538,223,229,230
228,228,229,229,3636,239,230,3541,228,3500,232,3586
229,229,230,230,230,240,232,227,229,226,233,233
231,231,232,232,231,242,103,228,231,227,235,234
104,101,103,59,233,107,234,230,101,229,104,236
233,233,234,234,235,244,235,100,233,101,237,102
234,234,235,235,236,245,238,232,234,231,238,238
237,237,238,238,237,248,239,233,237,232,241,239
238,238,239,239,240,249,241,236,238,235,242,242
240,1312,1342,241,241,251,242,237,1309,236,1336,243
1303,241,242,1332,243,1353,243,1307,241,1291,245,245
242,42,45,243,1340,253,44,240,42,239,44,1317
44,243,244,43,245,45,245,42,243,43,247,247
244,1352,1383,245,44,255,1355,242,141,241,1089,43
1343,246,247,1085,247,1394,248,1346,246,19,250,249
247,247,248,248,1381,258,249,245,247,244,251,11
248,249,250,249,250,259,251,246,249,245,253,252
250,5666,5881,251,251,261,5651,248,5620,246,5728,253
5574,253,254,5699,253,5862,255,5610,253,5528,257,255
254,1410,1444,255,5772,265,1415,252,1405,250,1438,5700
1402,257,259,1434,257,1454,260,1405,259,1388,263,259
260,261,263,261,1441,271,263,258,263,256,267,1415
264,262,264,265,262,275,264,262,264,260,268,265
265,1457,1492,266,266,276,1459,263,1453,261,1485,269
1446,266,268,1483,267,1502,268,1451,268,1437,272,270
269,267,269,270,1488,280,269,267,269,265,273,1462
270,268,270,271,271,281,270,268,7898,266,274,274
7837,1521,1555,8014,272,8294,1521,7886,1511,267,1547,275
1508,1524,1558,1547,273,1564,272,1515,1514,1497,1550,8022
1511,6464,6714,1549,1552,1567,6436,1518,6408,1499,6545,1525
6353,8218,8553,6495,1555,6696,8154,6401,8123,6268,8302,1527
8071,273,276,8244,6597,8532,276,8115,1288,7944,280,1529
277,274,277,278,8372,288,277,274,2383,272,281,8255
278,275,278,279,279,289,278,275,278,273,282,282
279,277,279,280,280,290,279,276,280,274,283,283
281,281,283,281,281,291,283,278,284,275,287,284
285,282,284,285,282,295,284,282,285,279,288,286
286,1653,1689,286,286,296,1658,283,1641,280,1683,290
1644,287,290,1677,287,1697,289,1645,291,1624,294,291
291,288,291,292,1686,301,290,288,292,285,295,1654
292,291,294,293,292,302,293,289,295,286,298,296
295,292,295,296,293,305,294,292,296,289,299,297
296,295,298,297,296,306,297,293,299,290,302,300
299,296,299,300,297,309,298,296,300,293,303,301
300,297,300,301,300,310,299,297,301,294,304,304
301,299,302,302,301,311,301,298,303,295,306,305
303,300,303,304,302,313,302,300,304,284,307,306
304,301,51,305,304,314,51,301,305,297,6,308
52,53,55,52,305,54,55,43,52,6,56,309
56,303,305,56,52,58,304,52,307,56,309,50
306,307,309,307,56,316,308,303,311,299,313,54
310,308,310,311,307,320,309,307,312,303,314,311
311,309,311,312,311,321,310,308,313,304,315,315
312,310,312,313,312,323,311,309,314,305,316,316
313,314,5894,314,313,324,315,310,5632,306,5741,317
59,3745,59,5712,314,5875,103,314,56,5540,320,318
3676,316,3878,318,318,328,319,100,3716,310,3795,5713
319,6485,318,3790,3817,3860,6456,318,320,101,324,322
6374,321,6735,323,321,331,324,6422,6429,315,6567,3766
324,322,323,328,6619,7115,325,323,325,6287,329,325
325,323,324,329,326,336,326,324,326,320,330,6523
326,324,325,330,327,337,327,325,327,321,331,330
327,1873,326,331,328,338,1868,326,328,322,332,331
1851,326,1901,1884,329,339,329,1861,1854,323,1893,332
329,327,328,333,1903,1912,330,328,330,1827,334,333
330,328,329,334,331,341,331,329,331,325,335,1869
331,49,330,335,332,342,51,330,332,326,336,335
52,3643,51,52,333,343,3640,48,48,327,52,336
3578,329,3772,3688,52,54,334,3621,3617,52,3700,337
332,1903,332,337,3717,3755,1899,331,334,3581,338,50
1879,101,1933,1917,335,345,336,1890,1887,329,1923,3667
104,331,334,339,1932,1946,338,100,336,1859,340,339
335,332,336,341,337,347,339,334,338,101,342,1902
336,60,337,342,339,349,62,335,339,332,343,341
62,335,62,63,340,350,342,59,59,333,63,343
339,336,340,345,63,65,343,338,342,63,346,344
340,102,341,346,343,353,104,339,343,336,347,61
105,341,346,104,344,354,347,101,347,337,105,347
345,2024,347,351,349,359,2020,343,348,102,352,348
1994,343,2068,2041,350,360,349,2008,2016,341,2051,352
347,49,349,353,2058,2076,350,345,350,1987,354,353
