,nb_comp,diameter,clustering_coeff,nb_communities,modularity
GloVe_2_50,8425.0,17.0,0.07312028305883357,8432.0,0.40799962174521665
HPCA_2_50,8583.0,16.0,0.07736849319916103,8591.0,0.4600029820244658
Word2Vec_2_50,8944.0,14.0,0.058069756419084274,8951.0,0.4079520715548116
GloVe_2_200,8611.0,11.0,0.06480053214957353,8617.0,0.42747199786908247
HPCA_2_200,8742.0,11.0,0.07228849456260454,8748.0,0.5130180166210537
Word2Vec_2_200,8922.0,14.0,0.062401415291348176,8926.0,0.5142538905476012
GloVe_5_50,8511.0,15.0,0.07076126415421129,8518.0,0.39572170117300537
HPCA_5_50,8471.0,20.0,0.07978395425918934,8477.0,0.4351316138140504
Word2Vec_5_50,8493.0,15.0,0.0679222803279834,8499.0,0.42782498362604254
GloVe_5_200,8286.0,16.0,0.07344552075002189,8295.0,0.4366415852054355
HPCA_5_200,8668.0,13.0,0.07113455789721677,8676.0,0.4138394897090901
Word2Vec_5_200,8627.0,12.0,0.06868219273510616,8632.0,0.4775305257715884
