,nb_comp,diameter,clustering_coeff,nb_communities,modularity
GloVe_2_50,1.0,10.0,0.20970550033795024,22.0,0.6078300214181376
HPCA_2_50,1.0,12.0,0.24783724989885977,23.0,0.6705731912625127
Word2Vec_2_50,1.0,11.0,0.2551217279003506,20.0,0.6632625357584244
GloVe_2_200,1.0,8.0,0.2016320805914507,18.0,0.5532192037437148
HPCA_2_200,1.0,10.0,0.25587770182442154,24.0,0.6230033069145916
Word2Vec_2_200,1.0,9.0,0.2695870686170182,21.0,0.6234379140378526
GloVe_5_50,1.0,10.0,0.23242678136963638,22.0,0.6428577817869646
HPCA_5_50,1.0,11.0,0.25803016214021596,21.0,0.6804460385785932
Word2Vec_5_50,1.0,11.0,0.2629401123014115,23.0,0.6761477042149426
GloVe_5_200,1.0,8.0,0.2175918722350608,18.0,0.5813856168927285
HPCA_5_200,1.0,10.0,0.26017736700909344,25.0,0.6281446902941283
Word2Vec_5_200,2.0,10.0,0.2633932637114862,22.0,0.6279890088888279
