,nb_comp,diameter,clustering_coeff,nb_communities,modularity
GloVe_2_50,1.0,16.0,0.22410768174648255,30.0,0.684356502374622
HPCA_2_50,1.0,21.0,0.25773851130332703,34.0,0.7343995270299324
Word2Vec_2_50,1.0,16.0,0.24154684123022044,27.0,0.7192188168175748
GloVe_2_200,1.0,14.0,0.24189275724145895,33.0,0.6622292734178147
HPCA_2_200,2.0,19.0,0.28055864229203425,38.0,0.7126911610202755
Word2Vec_2_200,2.0,14.0,0.2675068329603891,36.0,0.6967895612259206
GloVe_5_50,2.0,15.0,0.23065354705805977,33.0,0.7033882497230736
HPCA_5_50,2.0,18.0,0.25721879559031247,35.0,0.7360615722794049
Word2Vec_5_50,2.0,17.0,0.2446129043939742,30.0,0.7360362377038934
GloVe_5_200,1.0,14.0,0.2616158275425759,35.0,0.6888984309691966
HPCA_5_200,1.0,16.0,0.2864522628319403,42.0,0.7210259749136573
Word2Vec_5_200,3.0,14.0,0.27372261978104356,38.0,0.7016587819558961
